Instrument,Company Name,Sector,Clusters,Valuation Score,Fundamental Score,Momentum Score,Short Term Score,Long Term Score
MESA.OQ,MESA AIR GRP INC,Industrials,3,63.74999999999999,36.230000000000004,29.39,35.57,45.53
ROK.N,ROCKWELL AUTOMAT,Industrials,3,48.61,49.01,45.769999999999996,46.68,48.04
AIMC.OQ,ALTRA INDUS MTN,Industrials,3,52.2,49.84,49.65,50.06,50.739999999999995
EML.OQ,EASTERN CO,Industrials,3,62.870000000000005,47.89,37.65,42.970000000000006,51.32
XPO.N,XPO LOGISTICS,Industrials,3,49.39,46.01,48.97,48.59,48.11
HII.N,HUNTINGTN INGALS,Industrials,3,52.56999999999999,59.07,27.6,36.07,48.6
KAI.N,KADANT INC,Industrials,3,51.39,43.89,52.400000000000006,50.970000000000006,49.02
ASTE.OQ,ASTEC INDS INC,Industrials,3,45.379999999999995,45.5,57.599999999999994,53.949999999999996,48.480000000000004
TRNS.OQ,TRANSCAT INC,Industrials,1,48.49,47.89,57.97,55.04,50.64999999999999
AZEK.N,THE AZK CO A ORD,Industrials,4,51.17,52.22,67.4,62.69,55.589999999999996
VMI.N,VALMONT INDUSTRS,Industrials,1,52.33,47.89,59.550000000000004,56.720000000000006,52.580000000000005
OFLX.OQ,OMEGA FLEX,Industrials,4,41.48,47.89,64.3,58.41,49.43
EXPO.OQ,EXPONENT INC,Industrials,3,42.82,47.89,59.29,55.11000000000001,48.71
PH.N,PARKER-HANNIFIN,Industrials,4,52.61,71.94,47.24,51.74999999999999,58.03
LAWS.OQ,LAWSON PRODS,Industrials,3,49.95,47.89,40.88,43.29,46.96
UFPI.OQ,UFP INDUSTRS ORD,Industrials,1,61.3,48.67,46.78,49.24,53.25
APG.N,API GROUP CR ORD,Industrials,1,35.8,51.849999999999994,69.55,61.83,49.85
HTLD.OQ,HEARTLAND EXPR,Industrials,1,61.57,59.099999999999994,40.67,46.57,55.48
TBI.N,TRUEBLUE INC,Industrials,3,52.56999999999999,43.519999999999996,31.8,36.67,44.21
EME.N,EMCOR GROUP,Industrials,1,62.239999999999995,52.290000000000006,43.18,47.410000000000004,53.99
PKOH.OQ,PARK OHIO HLDGS,Industrials,3,52.62,45.129999999999995,35.589999999999996,39.57,45.739999999999995
MSA.N,MSA SAFETY INCRP,Industrials,3,46.300000000000004,47.89,54.05,51.959999999999994,48.79
ACM.N,AECOM,Industrials,3,57.45,45.73,43.35,45.82,49.82
APOG.OQ,APOGEE ENTR,Industrials,1,67.51,47.89,47.67,50.68,55.67999999999999
AJRD.N,AEROJET ROCKTDYN,Industrials,1,53.800000000000004,46.050000000000004,49.15,49.38,49.93
HUBB.N,HUBBELL INCRPRTD,Industrials,3,51.580000000000005,57.87,43.57,46.910000000000004,51.78
WTS.N,WTTS WTER TECH,Industrials,3,50.62,44.14,52.94,51.27,48.93
ECHO.OQ,ECHO GLBL LGSTCS,Industrials,3,54.13,57.37,52.459999999999994,53.449999999999996,54.85
ICFI.OQ,ICF INTL,Industrials,3,56.089999999999996,47.89,41.63,44.74,49.6
WERN.OQ,WERNER ENT,Industrials,1,65.99000000000001,58.940000000000005,48.04,52.370000000000005,59.040000000000006
ROCK.OQ,GIBRALTAR INDS,Industrials,1,49.58,47.89,75.03,67.14,55.35
TEX.N,TEREX CORP,Industrials,1,45.46,46.5,50.3,49.0,47.04
NX.N,QUANEX BUILDING,Industrials,1,57.730000000000004,43.03,52.09,51.580000000000005,51.17
EVI.A,EVI INDUSTRIES,Industrials,2,40.5,47.89,67.91,60.8,49.94
WMS.N,ADVANCED DRA SYS,Industrials,1,49.59,52.059999999999995,55.15,53.849999999999994,51.839999999999996
HLIO.OQ,HELIOS TECHN INC,Industrials,3,48.49,50.24999999999999,53.169999999999995,52.03,50.28
GBX.N,GREENBRIER CO,Industrials,1,61.83,38.14,55.66,53.949999999999996,51.99
OC.N,OWENS CORNING,Industrials,3,51.59,47.42,48.68,48.93,49.4
ARCB.OQ,ARCBEST CORP,Industrials,4,55.16,52.910000000000004,79.58,71.91,60.480000000000004
ODFL.OQ,OLD DOMINION,Industrials,4,48.57,83.06,63.43,64.14999999999999,64.36
SPXC.N,SPX Corp,Industrials,3,53.300000000000004,61.01,39.900000000000006,45.08,52.65
AGX.N,ARGAN INC,Industrials,3,46.63,47.89,50.57000000000001,49.58,48.06
HEIa.N,HEICO CORP A,Industrials,3,44.45,47.89,49.370000000000005,48.41,46.88
ULH.OQ,UNIVERSAL LO ORD,Industrials,1,65.52,47.89,46.21,49.36,54.52
FCN.N,FTI CONSULTING,Industrials,1,58.4,43.9,43.08,45.5,49.49
CLH.N,CLEAN HARBORS,Industrials,3,52.459999999999994,37.26,33.62,36.99,42.43
DE.N,DEERE & CO,Industrials,4,49.120000000000005,71.2,75.02,70.56,63.32
BV.N,BRIGHTVIEW HLDNG,Industrials,3,54.790000000000006,41.85,30.65,35.949999999999996,44.230000000000004
REVG.N,REV GROUP INC,Industrials,3,46.27,46.53,25.990000000000002,32.12,41.29
MTW.N,THE MANITWC COMP,Industrials,3,62.28,39.190000000000005,25.319999999999997,32.95,44.96
GMS.N,GMS INC,Industrials,1,59.870000000000005,43.830000000000005,39.57,43.25,49.18
ALGT.OQ,ALLEGIANT TRAVEL,Industrials,2,33.019999999999996,43.4,45.79,43.519999999999996,39.85
ACTG.OQ,ACACIA TECHS,Industrials,3,36.96,47.89,47.8,46.19,43.5
NWPX.OQ,NORTHWEST PIPE,Industrials,1,75.75,47.89,40.07,46.589999999999996,57.08
HNI.N,HNI,Industrials,1,64.14999999999999,39.79,37.18,41.620000000000005,48.88
PLPC.OQ,PREFORMED LINE,Industrials,1,78.93,47.89,45.68,51.0,59.75
FC.N,FRANKLIN COVEY,Industrials,3,40.26,57.25,29.39,35.199999999999996,43.49
SITE.N,SITEONE LANDSCPE,Industrials,4,43.53,46.82,70.74000000000001,63.07000000000001,51.49
HSII.OQ,HEIDRICK STRUGG,Industrials,1,62.7,54.059999999999995,47.410000000000004,50.7,55.85
CVLG.OQ,CVNT LGSTC A ORD,Industrials,3,59.06,47.89,47.760000000000005,49.47,52.32
WSC.OQ,WLS MBL MN A ORD,Industrials,3,44.879999999999995,40.949999999999996,52.32,49.5,45.36
WM.N,WASTE MANAGEMNT,Industrials,1,51.42,41.49,42.03,43.36,45.6
IEX.N,IDEX,Industrials,1,47.85,65.99000000000001,46.18,49.4,53.779999999999994
VSEC.OQ,VSE CORP,Industrials,1,62.849999999999994,47.89,35.42,41.4,50.74999999999999
DCO.N,DUCOMMUN INC,Industrials,1,57.58,31.14,42.34,42.94,44.51
KEX.N,KIRBY CORP,Industrials,1,58.24,35.15,24.22,30.959999999999997,41.65
IAA.N,IAA INC,Industrials,3,44.86,47.89,49.309999999999995,48.43,47.03
TTC.N,TORO CO,Industrials,3,48.4,66.32000000000001,53.38,54.58,55.92
BGSF.N,BGSF INC ORD,Industrials,3,57.02,47.89,15.47,26.56,43.43
CW.N,CURTISS-WRIGHT,Industrials,1,60.08,50.690000000000005,26.919999999999998,35.46,48.51
ROP.N,ROPER TECHNOLOGS,Industrials,1,47.48,34.08,44.019999999999996,43.04,41.92
LNN.N,LINDSAY CORP,Industrials,1,46.87,47.89,71.91,64.55,53.480000000000004
SCS.N,STEELCASE INC,Industrials,1,69.07,34.449999999999996,23.93,32.28,45.67
PRIM.OQ,PRIMORIS SVCS CP,Industrials,1,68.28999999999999,47.89,55.61000000000001,56.36,57.98
WWD.OQ,WOODWARD INC,Industrials,3,49.78,42.199999999999996,33.68,37.37,43.1
UPWK.OQ,UPWORK INC,Industrials,3,36.66,47.89,45.11,44.26,42.699999999999996
BE.N,BLOOM ENERGY CRP,Industrials,2,34.22,30.330000000000002,45.11,41.260000000000005,35.58
CARR.N,CARRR GLB CR ORD,Industrials,3,53.47,55.19,45.28,47.99,52.019999999999996
CSWI.OQ,CSW INDSTRLS INC,Industrials,2,46.400000000000006,41.6,69.82000000000001,62.07,50.57000000000001
MAXR.N,MAXAR TCHNLG ORD,Industrials,2,48.010000000000005,35.52,47.8,45.989999999999995,43.59
RUN.OQ,SUNRUN INC,Industrials,2,36.69,44.440000000000005,45.94,44.330000000000005,41.72
PNR.N,PENTAIR PLC,Industrials,3,51.959999999999994,51.160000000000004,48.36,49.32,50.78
GD.N,GENERAL DYNAMICS,Industrials,1,60.309999999999995,42.809999999999995,37.28,41.57,48.43
FBM.N^A21,,Industrials,3,56.96,47.89,40.92,44.37,49.78
JBHT.OQ,J.B. HUNT TRAN,Industrials,1,51.790000000000006,60.73,50.59,52.290000000000006,54.620000000000005
HUBG.OQ,HUB GROUP A,Industrials,1,60.36,29.7,42.68,43.38,45.21
ROLL.OQ,RBC BEARINGS,Industrials,3,47.25,45.24,42.34,43.51,45.32
CUB.N,CUBIC CORP,Industrials,1,50.72,31.509999999999998,46.58,44.940000000000005,42.96
MEG.N,MNTR ENVRMTL ORD,Industrials,2,40.53,47.89,75.0,65.75999999999999,51.72
FWRD.OQ,FORWARD AIR CP,Industrials,3,49.59,47.89,49.47,49.25,48.96
ITW.N,ILLINOIS TOOL WK,Industrials,5,48.089999999999996,56.44,45.21,47.33,50.29
MMM.N,3M COMPANY,Industrials,1,54.49,56.279999999999994,44.21,47.56,52.54
VICR.OQ,VICOR CORP,Industrials,4,38.550000000000004,53.82,82.11,71.33,54.790000000000006
UHAL.OQ,AMERCO,Industrials,1,62.81,47.89,56.76,56.34,56.07
WBT.N,WELBILT INC,Industrials,3,45.42,40.8,28.799999999999997,33.09,39.64
TNC.N,TENNANT CO,Industrials,3,53.620000000000005,47.89,37.12,41.21,47.49
MSM.N,MSC INDUSTRIAL,Industrials,1,56.910000000000004,63.7,50.9,53.72,57.79
SAIA.OQ,SAIA,Industrials,4,49.18,54.790000000000006,84.24000000000001,74.56,59.91
KSU.N,KANSAS CITY SO,Industrials,3,51.480000000000004,64.69,53.23,54.67999999999999,56.54
PLOW.N,DOUGLAS DYNMCS,Industrials,3,39.900000000000006,45.45,36.54,38.379999999999995,41.0
FAST.OQ,FASTENAL CO,Industrials,1,48.67,69.96,50.44,53.1,56.57
WCC.N,WESCO INTL,Industrials,1,58.87,42.08,43.62,45.67,49.18
CMCO.OQ,COLUMBUS MCKIN,Industrials,3,50.29,38.31,46.58,45.89,45.17
MTZ.N,MASTEC INC,Industrials,1,57.9,45.09,52.910000000000004,52.49,52.17
SRCL.OQ,STERICYCLE INC,Industrials,3,43.65,55.669999999999995,40.07,42.94,46.96
FTV.N,FORTIVE CORPORTN,Industrials,1,52.190000000000005,52.55,42.88,45.73,49.99
SPCE.N,VIRGN GLCTC HD A,Industrials,3,34.050000000000004,47.89,45.11,43.87,41.660000000000004
DXPE.OQ,DXP ENTERPRISES,Industrials,3,52.53,47.89,13.8,24.73,41.22
CR.N,CRANE CO,Industrials,3,56.35,53.56999999999999,33.71,40.089999999999996,49.72
HCSG.OQ,HEALTHCARE SVC,Industrials,1,53.23,59.37,55.879999999999995,56.010000000000005,56.04
DNB.N,DN & BRDSTRT ORD,Industrials,3,43.55,58.56,37.92,41.86,47.39
OTIS.N,OTIS WORLDWD ORD,Industrials,5,48.949999999999996,60.34,59.75,58.209999999999994,55.63
NDSN.OQ,NORDSON CP,Industrials,3,47.97,62.56,45.839999999999996,48.67,52.54
HURN.OQ,HURON CONSULTING,Industrials,3,50.160000000000004,47.89,34.64,38.95,45.48
TREX.N,TREX CMPNY,Industrials,4,42.34,87.97,83.89,78.27,68.7
FELE.OQ,FRANKLIN ELEC,Industrials,3,49.24,47.89,52.480000000000004,51.31,49.58
MYRG.OQ,MYR GROUP,Industrials,4,61.839999999999996,51.94,75.36,69.82000000000001,61.75000000000001
ALG.N,ALAMO GROUP,Industrials,3,53.33,47.89,47.839999999999996,48.67,50.05
TXT.N,TEXTRON INC,Industrials,3,54.0,44.99,37.330000000000005,40.98,46.68
UNF.N,UNIFIRST CORP,Industrials,3,53.410000000000004,45.9,46.02,47.11,48.93
ITT.N,ITT INC ORD,Industrials,3,53.849999999999994,51.690000000000005,38.61,42.86,49.29
KNX.N,KNGHT SWFT TRNSP,Industrials,1,68.58,48.730000000000004,43.65,48.15,55.400000000000006
TITN.OQ,TITAN MACHINERY,Industrials,1,55.910000000000004,41.94,63.55,59.160000000000004,52.93
FCEL.OQ,FUELCEL ENRGY IN,Industrials,3,36.15,47.89,45.11,44.18,42.5
AVAV.OQ,AEROVIRONMENT,Industrials,4,42.71,55.60000000000001,92.29,79.35,59.61
DCI.N,DONALDSON CO INC,Industrials,1,49.58,64.4,41.55,46.18,52.76
MOGa.N,MOOG INC A,Industrials,3,53.800000000000004,44.87,33.46,38.23,45.59
AAON.OQ,AAON INC,Industrials,4,44.22,47.89,66.71000000000001,60.519999999999996,51.129999999999995
TRS.OQ,TRIMAS CORP,Industrials,3,41.81,51.53,46.32,46.43,46.339999999999996
CECE.OQ,CECO ENV CORP,Industrials,1,62.9,47.89,37.480000000000004,42.85,51.29
SNA.N,SNAP-ON INC,Industrials,1,61.47,56.64,45.190000000000005,49.35,55.71
GFN.OQ,GENERAL FIN,Industrials,1,61.22,47.89,35.620000000000005,41.3,50.14999999999999
ACCO.N,ACCO BRANDS,Industrials,1,72.8,47.89,28.9,38.33,53.11
CSTE.OQ,CAESARSTONE LTD,Industrials,1,70.26,39.86,41.05,45.25,52.32
TILE.OQ,INTERFACE INC,Industrials,3,50.74999999999999,47.099999999999994,18.490000000000002,27.62,41.410000000000004
LHX.N,L3HARRIS TCH INC,Industrials,3,56.03,58.4,38.96,44.440000000000005,52.59
CRAI.OQ,CRA INTL,Industrials,3,59.46,48.11,41.46,45.16,50.99
HRI.N,HERC HOLDINGS IN,Industrials,1,62.419999999999995,39.86,43.3,45.65,49.75
WAB.N,WABTEC,Industrials,3,55.730000000000004,43.480000000000004,37.01,40.79,46.77
FDX.N,FEDEX CORP,Industrials,4,55.98,48.04,65.53999999999999,61.480000000000004,55.589999999999996
HCCI.OQ,HERITAGE-CRYSTAL,Industrials,1,61.78,47.89,31.919999999999998,38.79,49.45
RHI.N,ROB HALF INTL,Industrials,5,50.529999999999994,66.53999999999999,42.970000000000006,47.64,54.24
NSP.N,INSPERITY,Industrials,3,52.800000000000004,57.25,40.239999999999995,44.68,51.22
AXON.OQ,AXON ENTERPRISE,Industrials,4,37.169999999999995,50.67,55.489999999999995,52.019999999999996,46.48
IIIN.OQ,INSTEEL INDS,Industrials,1,60.33,47.89,51.93,52.59,53.879999999999995
CTAS.OQ,CINTAS CORP,Industrials,3,46.92,62.73,46.63,49.09,52.38
TPIC.OQ,TPI COMPOSTS INC,Industrials,3,40.28,44.61,45.11,44.31,43.0
EAF.N,GRAFTEC INTR LTD,Industrials,1,70.77,47.89,42.26,47.38,55.63
MWA.N,MUELLER WATER A,Industrials,3,56.35,47.89,40.79,44.190000000000005,49.5
BECN.OQ,BEACON ROOFING,Industrials,1,62.629999999999995,42.84,46.97,48.699999999999996,51.790000000000006
HY.N,HYSTR YL MRL HND,Industrials,4,48.04,47.89,66.75999999999999,61.12,52.669999999999995
CSL.N,CARLISLE COS INC,Industrials,3,52.56999999999999,49.559999999999995,38.0,41.92,47.870000000000005
NVEE.OQ,NV5 GLOBAL INC,Industrials,4,47.86,56.25,75.27000000000001,68.31,57.65
BLBD.OQ,BLUE BIRD CORP,Industrials,3,45.25,57.25,35.31,40.089999999999996,46.96
GLDD.OQ,GL DREDGE & DOCK,Industrials,1,66.77,47.89,57.13,57.19,57.75
WIRE.OQ,ENCORE WIRE CP,Industrials,3,61.45,47.89,43.46,46.82,52.2
DOOR.N,MASNIT INTL CORP,Industrials,1,54.010000000000005,47.22,52.55,51.970000000000006,51.25999999999999
HWM.N,HOWMET ARSPC ORD,Industrials,3,52.23,47.64,40.1,43.05,47.589999999999996
FBHS.N,FORTUNE BR HO SC,Industrials,1,54.36,54.1,48.68,50.349999999999994,52.849999999999994
TT.N,TRANE TCHNLG ORD,Industrials,3,49.62,58.64,57.49999999999999,56.489999999999995,54.75
AMWD.OQ,AMER WOODMK,Industrials,3,58.85,44.940000000000005,24.57,32.769999999999996,45.410000000000004
SHYF.OQ,THE SHYFT GR ORD,Industrials,4,50.38,55.120000000000005,68.43,63.73,56.55
HI.N,HILLENBRAND INC,Industrials,3,56.37,47.89,53.2,52.88,52.61
STRL.OQ,STERLING CONST,Industrials,1,67.97999999999999,47.89,59.03,58.699999999999996,58.709999999999994
RBC.N,REGAL BELOIT CRP,Industrials,3,55.54,49.44,57.03,55.669999999999995,53.779999999999994
SWK.N,STANLY BLK&DCKR,Industrials,3,56.32,46.18,39.76,43.21,48.63
PRLB.N,PROTO LABS INC,Industrials,2,41.959999999999994,47.89,75.7,66.47,52.470000000000006
ATKR.N,ATKORE INTRL GRP,Industrials,1,62.71,53.39,48.93,51.67,56.00000000000001
AIR.N,AAR CORP,Industrials,3,53.18000000000001,36.9,29.29,34.01,41.510000000000005
HURC.OQ,HURCO COS,Industrials,3,43.11,47.89,38.279999999999994,40.45,43.57
PSN.N,PARSONS CORPORTN,Industrials,3,52.55,46.87,36.230000000000004,40.27,46.48
OSK.N,OSHKOSH CORP,Industrials,3,59.760000000000005,70.39,38.58,46.53,58.19
GE.N,GENERAL ELEC CO,Industrials,3,32.5,44.57,40.910000000000004,40.19,38.82
KTOS.OQ,KRATOS DEFC &SEC,Industrials,2,40.93,36.230000000000004,70.78999999999999,61.12,46.75
DY.N,DYCOM INDS,Industrials,2,51.25999999999999,46.35,74.42,66.73,55.33
CWST.OQ,CASELLA WASTE,Industrials,3,44.03,48.59,49.82,48.77,47.07
ERII.OQ,ENERGY RECOVERY,Industrials,1,48.83,42.36,57.50999999999999,53.93,48.730000000000004
TRTN.N,TRITON INTERNTNL,Industrials,1,64.85,51.89,49.830000000000005,52.39,56.56
VRT.N,VERTIV HLD A ORD,Industrials,4,38.019999999999996,47.89,76.64999999999999,66.53999999999999,51.129999999999995
FLOW.N,SPX Flow Inc,Industrials,3,51.5,46.39,41.32,43.61,47.17
MLHR.OQ,HERMAN MILLER,Industrials,1,68.17999999999999,48.33,35.199999999999996,42.120000000000005,52.99
GFF.N,GRIFFON CP,Industrials,1,63.349999999999994,39.300000000000004,40.17,43.51,49.14
ETN.N,EATON CORP,Industrials,3,50.77,61.47,51.12,52.62,54.6
BRC.N,BRADY CORP,Industrials,1,56.26,42.27,37.85,41.27,46.760000000000005
SPR.N,SPIRIT AEROSY HL,Industrials,3,20.7,23.01,14.82,16.93,20.04
KBAL.OQ,KIMBALL INTERNAT,Industrials,1,67.13,47.89,26.279999999999998,35.64,50.18
SSD.N,SIMPSON MANUF,Industrials,1,55.78999999999999,61.160000000000004,43.85,48.24,54.67999999999999
LMT.N,LOCKHEED MARTIN,Industrials,1,59.540000000000006,54.669999999999995,35.28,41.83,51.77
LSTR.OQ,LANDSTAR SYS,Industrials,4,50.59,85.02,55.379999999999995,59.11,63.839999999999996
BBSI.OQ,BARRETT BUS,Industrials,1,65.49000000000001,47.89,28.76,37.14,50.14999999999999
RUSHA.OQ,RUSH ENTRPRS A,Industrials,1,58.989999999999995,35.22,53.480000000000004,51.559999999999995,49.29
GWW.N,W W GRAINGER INC,Industrials,1,52.23,72.8,44.68,50.029999999999994,57.54
VRTV.N,VERITIV CORPRATN,Industrials,1,77.5,47.89,41.32,47.73,58.089999999999996
FIX.N,COMFORT SYS USA,Industrials,1,59.95,47.89,51.32,52.1,53.56999999999999
HEI.N,HEICO CORP,Industrials,1,44.45,41.46,42.68,42.76,42.96
FSS.N,FEDERAL SIGNAL,Industrials,1,56.19,62.25000000000001,43.3,48.07,55.089999999999996
PKE.N,PARK AEROSPACE,Industrials,3,52.04,47.89,38.42,41.88,47.18
WSO.N,WATSCO INC,Industrials,1,52.56999999999999,62.55,60.940000000000005,59.919999999999995,58.160000000000004
BA.N,BOEING CO,Industrials,3,21.58,50.849999999999994,20.9,25.490000000000002,31.65
MATX.N,MATSON INC,Industrials,1,54.379999999999995,47.89,69.78999999999999,64.19,55.96
SNDR.N,SCHNEIDR NATIONL,Industrials,1,65.94,62.64999999999999,44.89,50.71,59.519999999999996
INFO.N,IHS MARKIT LTD,Industrials,3,46.69,48.6,47.980000000000004,47.88,47.68
MRTN.OQ,MARTEN TRANS,Industrials,1,62.03999999999999,47.89,49.25,50.970000000000006,53.89000000000001
CAI.N,CAI INTERNATIONL,Industrials,1,63.28,47.63,48.199999999999996,50.38,54.03
ABM.N,ABM INDS INC,Industrials,1,60.519999999999996,43.03,41.410000000000004,44.519999999999996,49.62
BCO.N,BRINK'S CO,Industrials,3,47.04,47.89,30.2,35.38,43.120000000000005
