,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
1076,FARM.OQ,Consumer Staples,,7.989282526297161,-8.8,10.9463065082424,,52.1579842854
1077,ABC.N,Health Care,32.2,3.75233313904781,195.4,4.19592763097924,9.20267,125.599563887
1078,LDOS.N,Information Technology,12.9,5.62537778877318,23.22925,6.98898992237656,11.93867,46.63439013
1079,VAR.N,Health Care,3.7,7.4862073716356505,19.85,7.622304833183381,,14.9720624822
1080,SXT.N,Materials,8.7,6.15076908985548,13.9,7.1069475909721795,,41.25481442
1081,KIM.N,Real Estate,,6.2667661056176795,3.8433300000000004,10.2806907859273,,51.797382675
1082,MORN.OQ,Financials,,7.316782051692781,,7.74467014987038,,32.135028496
1083,LE.OQ,Consumer Discretionary,,11.2097910159483,,17.4589653382715,,52.419115829
1084,HTBI.OQ,Financials,,5.04671156538525,3.425,5.02892780280837,,
1085,LNN.N,Industrials,,3.11850931525558,,3.04168543244232,,27.962933915700003
1086,DDD.N,Information Technology,,10.7269882481772,6.5,10.917432798564901,,10.239955845
1087,ATUS.N,Communication Services,6.46333,4.65990896033795,70.545,8.05501179922626,120.9485,91.092941394
1088,CELH.OQ,Consumer Staples,,14.651275799799599,,14.793858255622402,,12.566800455
1089,FMC.N,Materials,21.5,6.3180178322039495,29.0878,7.29719421193067,10.04867,55.99120305100001
1090,APEI.OQ,Consumer Discretionary,,5.67714248553278,,5.62896668027169,,0.0
1091,GTS.N,Health Care,,4.6373793071725,,5.80259459082914,,7.791245383
1092,EVTC.N,Information Technology,,6.8757803248751,36.105,7.66465095217199,8.45,65.911623704
1093,SCCO.N,Materials,15.85,7.61144265967982,23.1654,8.406466917476031,7.2785,47.3524261588
1094,MHO.N,Consumer Discretionary,,9.52512109292908,,13.625373557069098,,40.9221177016
1095,SCS.N,Industrials,2.0,8.57741192894499,7.4,10.590322757169,,33.292087716
1096,AZPN.OQ,Information Technology,21.9,9.171399991770699,31.73333,9.36945750758689,15.3,47.8285238034
1097,FULC.OQ,Health Care,,9.152502727330631,-73.69,9.17817893495179,,0.057337477000000005
1098,BRX.N,Real Estate,,5.545012266914821,5.75,11.2394232958538,-15.08,63.920554285
1099,COTY.N,Consumer Staples,4.6,5.7388764940677595,5.412000000000001,15.750007476201901,,72.671243628
1100,NODK.OQ,Financials,,2.5361487240605602,,2.5265182795265297,,0.0
1101,CHX.OQ,Energy,-1.0,12.1562672768591,10.0775,17.5826653391837,,35.272225276
1102,LYFT.OQ,Industrials,-18.3,12.7753689278689,-41.9045,13.593228214136099,,0.0
1103,EOLS.OQ,Health Care,19.8,7.838134848882429,224.8,11.283951598338803,,53.509449418
1104,CLX.N,Consumer Staples,32.64333,2.10504858252255,76.25399999999999,2.2046837819798397,5.00275,75.47271745
1105,SEIC.OQ,Financials,43.3,7.95725314872883,26.875,7.96762066530193,,
1106,UNFI.N,Consumer Staples,5.55,1.23212781738678,11.225,-3.9228012417455695,,69.9083729876
1107,LPG.N,Energy,,6.5239375294694195,11.1,9.075462998923921,,39.389852314
1108,MMC.N,Financials,15.1,5.69984560604322,26.415,6.51640082322614,8.48467,54.9895494094
1109,AVRO.OQ,Health Care,,9.86713068765552,-93.59,9.86948209739716,,0.0
1110,COOP.OQ,Financials,,3.7785849752256,17.633,11.000155431521002,,85.550518135
1111,LBRT.N,Energy,,12.136718725243599,10.10667,12.617811710522199,,7.4709461244
1112,FPI.N,Real Estate,,4.609368467934731,,6.36156818079376,,46.99013157899999
1113,ERIE.OQ,Financials,,3.83020565335217,,3.84275773991068,,7.945988625
1114,KMPR.N,Financials,,5.24552356670244,8.7,5.98549460721014,,20.4455911579
1115,AMWL.N,Health Care,,-0.015700999927451,-10.823,0.049617085584025,,0.0
1116,BEAM.OQ,Health Care,,7.586321103575879,-69.8,7.60223630436612,,5.357260053
1117,PRIM.OQ,Industrials,,7.29901187676563,,9.28314235929426,,35.816669741999995
1118,CPA.N,Industrials,-1.16667,7.631620674611501,0.17588,10.813386637491801,-0.65,41.275568752
1119,SF.N,Financials,,10.247125746186802,12.879669999999999,10.2620057587321,-9.266,
1120,CLCT.OQ,Consumer Discretionary,,11.034742901797399,,11.0949382256634,,6.322097378
1121,ANAB.OQ,Health Care,,2.10146908944459,-27.3,2.05723322642335,,0.33835076799999997
1122,DCOM.OQ^A21,Financials,,,,,,
1123,AFIN.OQ,Real Estate,,5.4221470927068305,,8.29632051087159,,49.131284515
1124,V.N,Information Technology,,6.88720935173571,36.1625,7.200913995425969,13.845,39.930325149299996
1125,TTD.OQ,Information Technology,,16.7283300978031,21.395,16.8914504752982,29.0,0.0
1126,COKE.OQ,Consumer Staples,,5.504509109396759,,7.3802163236147305,,70.082011245
1127,VIACA.OQ,Communication Services,17.25,7.09618662032742,16.2132,12.3298043913375,8.65,58.021821338
1128,XLNX.OQ,Information Technology,23.225,7.1598108334444595,27.81788,7.4213010439892,,34.996443833
1129,OUT.N,Real Estate,,7.60587568873798,5.95,12.6923460872011,10.0,68.212219557
1130,PAYX.OQ,Information Technology,82.2,6.51052644255891,36.91786,6.664206768918261,4.5,22.378812826
1131,STE.N,Health Care,8.95,2.64535614082925,13.133329999999999,2.9121979534776403,,25.245976461999998
1132,BHE.N,Information Technology,,7.7179124109224295,,8.52267983050588,,12.4103381129
1133,TFSL.OQ,Financials,,3.81829955002931,0.672,3.83861597767352,,
1134,KOD.OQ,Health Care,,7.60419385028998,-15.91,7.613012538872139,,0.0
1135,ALB.N,Materials,5.9,7.910759795881701,9.405,10.742762747302198,15.0,42.697740724
1136,AES.N,Utilities,6.8,3.73093553350519,37.1125,6.57090711174863,7.4,76.732597946
1137,WWD.OQ,Industrials,9.6,10.9299474896998,10.6055,11.809289911938698,8.596,29.6162350415
1138,BXG.N,Consumer Discretionary,,5.17771135338078,,8.96184409030708,,57.924217165
1139,HZNP.OQ,Health Care,,4.7122953483983,20.38,4.72873569956085,30.2,38.234316577
1140,ARES.N,Financials,,5.583997512850679,39.73,8.42802102141668,17.403,81.881212925
1141,UPWK.OQ,Industrials,,8.22663484484549,,8.28780555690139,,6.58355749
1142,ARW.N,Information Technology,10.4,8.68999962921402,12.6,10.8040185962148,,30.4714790646
1143,RPD.OQ,Information Technology,-8.2,8.16242847801366,10.77,9.02291157871981,,69.009717999
1144,SCHN.OQ,Materials,8.4,8.90709955598753,9.8,9.82628374633915,,13.304240910699999
1145,FIBK.OQ,Financials,,5.799886754218769,8.2376,8.15989706926389,,
1146,BFST.OQ,Financials,,9.74004685868664,9.36,10.959634229207802,,
1147,PTGX.OQ,Health Care,,10.7605572794281,-76.3,10.5790405100144,,10.911562200999999
1148,INFN.OQ,Information Technology,,6.74395207528201,7.915,8.76929835516883,,48.162030951999995
